Method_Type,Wavelet_Family,Wavelet,Algorithm,Features,Feature_Count,Feature_Extractor,Strategy,Training_Timesteps,Random_Seed,Alpha,Beta,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Win_Rate,Max_Loss,RoMaD,CAGR,Volatility,T_Statistic,P_Value,Total_Return,Best_Learning_Rate,Best_Gamma,Validation_Score
Reinforcement_Learning,Coiflets,coif4,PPO,DIX_GEX_VIX,3,Advanced,Long-Only,50000,2149589215,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,A2C,DIX,1,Advanced,Long-Only,50000,24784833,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,A2C,GEX,1,Advanced,Long-Only,50000,1831886949,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,A2C,VIX,1,Advanced,Long-Only,50000,1201749431,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,A2C,DIX_GEX,2,Advanced,Long-Only,50000,1847883798,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,A2C,DIX_VIX,2,Advanced,Long-Only,50000,1787374490,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,A2C,GEX_VIX,2,Advanced,Long-Only,50000,2120795592,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,A2C,DIX_GEX_VIX,3,Advanced,Long-Only,50000,1418239804,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,DQN,DIX,1,Advanced,Long-Only,50000,1129657247,0.16158909937068577,0.015289890419548757,0.4864224776433081,0.03602292978967558,0.36272422589087544,0.34132581100141046,-0.14958995346076423,0.3756531271155438,0.13625848973647225,0.3360745703342592,0.9150730577121309,0.3604648241937243,0.4331928857421875,5e-05,0.99,0.5659469422755224
Reinforcement_Learning,Coiflets,coif4,DQN,GEX,1,Advanced,Long-Only,50000,1336674323,0.020507909683015822,-0.20490850600215496,-0.016870587647695463,-0.0007405743920858199,0.30149240234375,0.04936530324400564,-0.17806833389604865,-0.07040140582957988,-0.021225488971937323,0.2818948604118209,0.09064331441902197,0.9278016510982583,-0.05865517578125,5e-05,0.99,0.023553701680858463
Reinforcement_Learning,Coiflets,coif4,DQN,VIX,1,Advanced,Long-Only,50000,3736690566,0.3011092026324717,-0.050649539877872414,0.9597541275717999,0.08735914350577688,0.282851363545778,0.5246826516220028,-0.0902204011143841,1.0845565883530688,0.30676830985822257,0.30722921187657315,1.7178196073616134,0.08626677333049071,1.1251271875,0.0003,0.95,0.9789195297165459
Reinforcement_Learning,Coiflets,coif4,DQN,DIX_GEX,2,Advanced,Long-Only,50000,1477945253,0.1691537833052643,-0.10092016402486007,0.7144522647878716,0.0384836506632852,0.1771706161771913,0.09732016925246827,-0.11198723178312064,0.9342319322747805,0.16551844709353092,0.21934440070442185,1.350372688699185,0.17732795018883452,0.53962541015625,5e-05,0.99,0.1418322939657239
Reinforcement_Learning,Coiflets,coif4,DQN,DIX_VIX,2,Advanced,Long-Only,50000,3855615464,0.09873869808659286,0.029382694121628236,0.5340780758287541,0.03445584893263401,0.2983896271419703,0.3145275035260931,-0.08785087048368338,0.3661960734245711,0.10926910981001137,0.1916599140636081,1.0701123052323656,0.2849334377027661,0.3393365869140625,0.0001,0.95,0.552357482306709
Reinforcement_Learning,Coiflets,coif4,DQN,GEX_VIX,2,Advanced,Long-Only,50000,307209322,0.0793749020713872,-0.15827481797739212,0.23548921946822154,0.011409885883114637,0.22216160612554434,0.06064880112834979,-0.15333874125216804,0.22797498928021923,0.05064728977494726,0.254197773354099,0.5265971016405668,0.5986383377082356,0.149354736328125,5e-05,0.99,0.005419674698087906
Reinforcement_Learning,Coiflets,coif4,DQN,DIX_GEX_VIX,3,Advanced,Long-Only,50000,3226446151,0.07993406209717194,-0.08978576237328602,0.3028350081863699,0.011379239337667836,0.19978240234375,0.0380818053596615,-0.1518847120888875,0.33288903380318097,0.0665053708870893,0.22739830866839292,0.6550218852274475,0.5126664149477534,0.198905009765625,0.0003,0.95,-0.023816037099811227
Reinforcement_Learning,Biorthogonal,bior1.1,PPO,DIX,1,Advanced,Long-Only,50000,574198242,0.25961957906566946,-0.04279834020527858,0.762988841588504,0.06893922874742928,0.3485530710515328,0.5260930888575458,-0.10297136420340786,0.7020243954714602,0.24469275899467324,0.33335071139795075,1.3794585482354687,0.16818895642514448,0.8528227392578125,0.0003,0.95,0.7433550156722369
Reinforcement_Learning,Biorthogonal,bior1.1,PPO,GEX,1,Advanced,Long-Only,50000,182869423,0.11193696315693358,-0.10549217665357598,0.324546957161474,0.01925101355006749,0.29327845639083705,0.1607898448519041,-0.13594248851509672,0.2600337384744175,0.07626229342931579,0.3048267363276841,0.6539685671960712,0.5133444075290983,0.230064970703125,0.0001,0.99,0.7433550156722369
